Face Detection and Model Embedding,Average Precision
det_fastmtcnn-emb_ArcFace,0.9510916210147958
det_fastmtcnn-emb_VggFace,0.6054061456114106
det_opencv-emb_GhostFaceNet,0.39690611913431373
det_fastmtcnn-emb_FaceNet,0.30300600031950314
det_opencv-emb_FaceNet,0.22769678935754573
det_opencv-emb_ArcFace,0.19613984453923394
det_opencv-emb_VggFace,0.19312855586082667
det_retinaface-emb_VggFace,0.19027003267428008
det_fastmtcnn-emb_GhostFaceNet,0.18410531941355732
det_retinaface-emb_FaceNet,0.18153627744382184
det_retinaface-emb_GhostFaceNet,0.18129696662664982
det_retinaface-emb_ArcFace,0.17839431165357078
