Face Detection and Model Embedding,Average Precision
det_fastmtcnn-emb_ArcFace,1.0
det_fastmtcnn-emb_VggFace,1.0
det_fastmtcnn-emb_FaceNet,1.0
det_fastmtcnn-emb_GhostFaceNet,0.9626543209876544
det_retinaface-emb_ArcFace,0.959375
det_retinaface-emb_VggFace,0.6428571428571428
det_retinaface-emb_FaceNet,0.5210317460317461
det_retinaface-emb_GhostFaceNet,0.4692857142857143
det_opencv-emb_GhostFaceNet,0.3458333333333333
det_opencv-emb_VggFace,0.18333333333333335
det_opencv-emb_FaceNet,0.17142857142857143
det_opencv-emb_ArcFace,0.16666666666666666
