Face Detection and Model Embedding,Average Precision
det_retinaface-emb_GhostFaceNet,1.0
det_opencv-emb_ArcFace,1.0
det_opencv-emb_VggFace,1.0
det_opencv-emb_FaceNet,1.0
det_opencv-emb_GhostFaceNet,1.0
det_retinaface-emb_VggFace,0.7555555555555555
det_retinaface-emb_ArcFace,0.75
det_retinaface-emb_FaceNet,0.5333333333333333
det_fastmtcnn-emb_GhostFaceNet,0.4777777777777777
det_fastmtcnn-emb_ArcFace,0.3666666666666667
det_fastmtcnn-emb_VggFace,0.3666666666666667
det_fastmtcnn-emb_FaceNet,0.3666666666666667
