Face Detection and Model Embedding,Average Precision
det_fastmtcnn-emb_ArcFace,0.9752995524229903
det_fastmtcnn-emb_VggFace,0.5483699036500485
det_retinaface-emb_VggFace,0.5419378647954343
det_opencv-emb_GhostFaceNet,0.5196602105527826
det_retinaface-emb_FaceNet,0.5064152414114363
det_fastmtcnn-emb_GhostFaceNet,0.41234866829937494
det_retinaface-emb_ArcFace,0.358411059409433
det_retinaface-emb_GhostFaceNet,0.32103604752592235
det_opencv-emb_ArcFace,0.2656769805111563
det_fastmtcnn-emb_FaceNet,0.2480384625101747
det_opencv-emb_VggFace,0.2472868595089016
det_opencv-emb_FaceNet,0.24064256660597821
