Face Detection and Model Embedding,Average Precision
det_fastmtcnn-emb_GhostFaceNet,0.69547480260478
det_fastmtcnn-emb_FaceNet,0.6533969986388284
det_fastmtcnn-emb_ArcFace,0.6350519698025279
det_fastmtcnn-emb_VggFace,0.6350519698025279
det_retinaface-emb_GhostFaceNet,0.5820090742305387
det_opencv-emb_GhostFaceNet,0.5695556678534676
det_retinaface-emb_ArcFace,0.5520018311825482
det_retinaface-emb_FaceNet,0.5437879550805161
det_retinaface-emb_VggFace,0.540192977848906
det_opencv-emb_ArcFace,0.38214993374740136
det_opencv-emb_VggFace,0.3642379136194325
det_opencv-emb_FaceNet,0.35969127484760827
