Face Detection and Model Embedding,Average Precision
det_fastmtcnn-emb_ArcFace,1.0
det_fastmtcnn-emb_VggFace,1.0
det_fastmtcnn-emb_FaceNet,0.9888888888888889
det_fastmtcnn-emb_GhostFaceNet,0.9467813051146384
det_retinaface-emb_GhostFaceNet,0.8273809523809524
det_opencv-emb_GhostFaceNet,0.7947278911564626
det_opencv-emb_ArcFace,0.4888888888888889
det_opencv-emb_VggFace,0.4888888888888889
det_opencv-emb_FaceNet,0.4888888888888889
det_retinaface-emb_VggFace,0.39285714285714285
det_retinaface-emb_FaceNet,0.3873015873015873
det_retinaface-emb_ArcFace,0.18333333333333335
